iter	Passed	Remaining
0	148	148106
1	149	74830
2	151	50368
3	152	38065
4	154	30772
5	156	25854
6	157	22336
7	158	19707
8	160	17680
9	162	16045
10	163	14705
11	165	13625
12	167	12680
13	168	11856
14	169	11134
15	171	10517
16	172	9981
17	174	9494
18	175	9059
19	177	8685
20	178	8338
21	180	8025
22	181	7727
23	183	7457
24	184	7206
25	186	6972
26	187	6760
27	189	6567
28	190	6390
29	192	6218
30	193	6056
31	195	5907
32	196	5767
33	198	5632
34	199	5506
35	201	5395
36	203	5292
37	205	5198
38	206	5098
39	208	5006
40	209	4911
41	211	4817
42	212	4731
43	214	4652
44	215	4572
45	216	4495
46	219	4444
47	220	4377
48	222	4313
49	223	4249
50	225	4188
51	226	4130
52	227	4072
53	229	4014
54	230	3964
55	232	3915
56	233	3864
57	234	3814
58	236	3769
59	237	3725
60	239	3681
61	240	3639
62	242	3600
63	243	3562
64	245	3526
65	246	3488
66	247	3450
67	249	3424
68	251	3392
69	252	3359
70	254	3325
71	255	3297
72	257	3268
73	258	3237
74	260	3207
75	262	3188
76	263	3160
77	264	3132
78	266	3107
79	268	3084
80	269	3057
81	270	3031
82	271	3001
83	272	2975
84	274	2954
85	275	2931
86	277	2912
87	278	2890
88	280	2870
89	281	2849
90	283	2828
91	284	2807
92	285	2788
93	287	2770
94	288	2750
95	290	2731
96	291	2711
97	292	2696
98	294	2679
99	295	2663
100	297	2644
101	298	2630
102	300	2614
103	301	2599
104	303	2583
105	304	2568
106	306	2554
107	307	2539
108	308	2524
109	310	2510
110	312	2504
111	314	2492
112	315	2480
113	317	2469
114	319	2456
115	320	2444
116	321	2429
117	323	2419
118	325	2409
119	326	2397
120	328	2384
121	329	2371
122	331	2361
123	332	2349
124	334	2338
125	335	2328
126	336	2315
127	338	2304
128	339	2294
129	341	2285
130	342	2275
131	344	2264
132	345	2253
133	347	2243
134	348	2233
135	350	2223
136	351	2213
137	352	2203
138	354	2196
139	355	2186
140	357	2177
141	358	2166
142	360	2158
143	361	2151
144	363	2141
145	364	2132
146	366	2124
147	367	2116
148	368	2107
149	370	2099
150	372	2093
151	374	2086
152	375	2079
153	376	2070
154	378	2064
155	380	2056
156	381	2048
157	382	2040
158	384	2032
159	386	2026
160	387	2017
161	388	2011
162	390	2003
163	391	1996
164	393	1989
165	394	1982
166	396	1975
167	397	1969
168	399	1963
169	400	1956
170	402	1950
171	403	1944
172	405	1938
173	407	1932
174	408	1927
175	411	1924
176	412	1919
177	414	1914
178	416	1912
179	418	1907
180	420	1901
181	422	1897
